epoch,loss,lr,mae,val_loss,val_mae
0,0.00339023326523602,0.001,0.03594515100121498,0.0005201258463785052,0.012923508882522583
1,0.0008810795261524618,0.001,0.0149498600512743,0.0005219060694798827,0.013273390009999275
2,0.0008760056225582957,0.001,0.014932296238839626,0.0005300587508827448,0.013076783157885075
3,0.0008767261751927435,0.001,0.01479572243988514,0.0005333437002263963,0.013293316587805748
4,0.0008728733519092202,0.001,0.014729922637343407,0.0005191371310502291,0.013043875806033611
5,0.0008728526881895959,0.001,0.014881839975714684,0.0005233443225733936,0.012889992445707321
6,0.0008690355462022126,0.001,0.014719593338668346,0.0005158458952791989,0.01279795914888382
7,0.0008674872224219143,0.001,0.014602228067815304,0.0005197362625040114,0.012859095819294453
8,0.0008661875617690384,0.001,0.014555075205862522,0.000525386945810169,0.013026261702179909
9,0.0008643486071377993,0.001,0.01454855501651764,0.000561956490855664,0.014411119744181633
